,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Item_Outlet_Sales
1716,FDO13,12.695633368756642,Low Fat,0.060763988,Breakfast,164.0526,OUT027,1985,Medium,Tier 3,Supermarket Type3,4048.964887305256
1717,FDE26,9.3,Low Fat,0.089368341,Canned,143.8786,OUT018,2009,Medium,Tier 3,Supermarket Type2,2007.775920492234
1718,FDA31,7.1,Low Fat,0.18413701,Fruits and Vegetables,172.808,OUT010,1998,Medium,Tier 3,Grocery Store,795.3370813835522
1719,FDX14,13.1,Low Fat,0.07492586,Dairy,75.3354,OUT035,2004,Small,Tier 2,Supermarket Type1,1280.2197908761177
1720,FDA34,11.5,Low Fat,0.014890695,Starchy Foods,174.108,OUT045,2002,Medium,Tier 2,Supermarket Type1,2797.1689417636776
1721,FDF26,6.825,Regular,0.046595951,Canned,153.0998,OUT013,1987,High,Tier 3,Supermarket Type1,2468.4013532375775
1722,FDE38,6.52,Low Fat,0.044697626,Canned,166.5842,OUT045,2002,Medium,Tier 2,Supermarket Type1,2672.3613032559647
1723,DRI11,8.26,Low Fat,0.034404287,Hard Drinks,113.5834,OUT046,1997,Small,Tier 1,Supermarket Type1,1840.8890008979647
1724,FDQ60,12.695633368756642,Regular,0.108844791,Baking Goods,118.5098,OUT027,1985,Medium,Tier 3,Supermarket Type3,3359.913532005729
1725,FDL21,12.695633368756642,Regular,0.007111808,Snack Foods,39.348,OUT027,1985,Medium,Tier 3,Supermarket Type3,2174.8774956464413
1726,DRC12,12.695633368756642,Low Fat,0.037643694,Soft Drinks,192.0188,OUT027,1985,Medium,Tier 3,Supermarket Type3,4494.029550419567
1727,FDC47,15.0,Low Fat,0.118890636,Snack Foods,227.9694,OUT046,1997,Small,Tier 1,Supermarket Type1,3659.5777946597195
1728,FDE57,9.6,Low Fat,0.036358713,Fruits and Vegetables,140.0154,OUT045,2002,Medium,Tier 2,Supermarket Type1,2280.1373659471706
1729,FDT14,10.695,Regular,0.127986136,Dairy,120.344,OUT045,2002,Medium,Tier 2,Supermarket Type1,1948.8843989734023
1730,NCZ53,9.6,Low Fat,0.024477166,Health and Hygiene,189.6214,OUT046,1997,Small,Tier 1,Supermarket Type1,3079.221918684418
1731,FDE28,9.5,Regular,0.133086933,Frozen Foods,230.1668,OUT018,2009,Medium,Tier 3,Supermarket Type2,3382.186445263174
1732,FDR19,13.5,Regular,0.159690469,Fruits and Vegetables,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,2373.1982386155782
1733,NCF54,12.695633368756642,Low Fat,0.082951105,Household,173.7422,OUT019,1985,Small,Tier 1,Grocery Store,870.5626300658869
1734,FDZ08,12.5,Regular,0.109992376,Fruits and Vegetables,81.1592,OUT046,1997,Small,Tier 1,Supermarket Type1,1380.7681550544644
1735,NCJ05,18.7,Low Fat,0.046276017,Health and Hygiene,154.2682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2215.2098148777895
1736,FDF59,12.5,Low Fat,0.071244009,Starchy Foods,127.102,OUT046,1997,Small,Tier 1,Supermarket Type1,2058.116155285949
1737,NCO05,7.27,Low Fat,0.046550645,Health and Hygiene,100.4384,OUT035,2004,Small,Tier 2,Supermarket Type1,1684.5611952130762
1738,FDW24,6.8,Low Fat,0.037649797,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,541.7717969442438
1739,NCX42,6.36,Low Fat,0.00600295,Household,166.1526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.9206355228634
1740,NCA53,11.395,LF,0.009876591,Health and Hygiene,48.2034,OUT035,2004,Small,Tier 2,Supermarket Type1,856.5520557667046
1741,FDI45,12.695633368756642,Low Fat,0.065799906,Fruits and Vegetables,177.0054,OUT019,1985,Small,Tier 1,Grocery Store,921.9383348156675
1742,FDG46,8.63,Regular,0.032909657,Snack Foods,112.9518,OUT046,1997,Small,Tier 1,Supermarket Type1,1906.1575180749533
1743,FDM20,10.0,Low Fat,0.064752101,Fruits and Vegetables,243.3144,OUT010,1998,Medium,Tier 3,Grocery Store,1958.6510160613984
1744,FDW11,12.6,Low Fat,0.081651205,Breads,61.6194,OUT010,1998,Medium,Tier 3,Grocery Store,-928.6042478982791
1745,FDX08,12.85,Low Fat,0.022599777,Fruits and Vegetables,179.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,2950.0790634999007
1746,NCK17,11.0,Low Fat,0.03788768,Health and Hygiene,40.648,OUT035,2004,Small,Tier 2,Supermarket Type1,755.1351044312037
1747,FDK32,16.25,Regular,0.049175079,Fruits and Vegetables,151.5682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2204.02211239905
1748,NCA42,6.965,Low Fat,0.028543185,Household,159.4604,OUT035,2004,Small,Tier 2,Supermarket Type1,2633.3870955025136
1749,DRI01,7.97,Low Fat,0.034446434,Soft Drinks,170.7422,OUT035,2004,Small,Tier 2,Supermarket Type1,2765.464618964885
1750,NCL55,12.15,LF,0.0,Others,254.004,OUT049,1999,Medium,Tier 1,Supermarket Type1,4023.462722417487
1751,DRE25,15.35,Low Fat,0.073581718,Soft Drinks,94.412,OUT018,2009,Medium,Tier 3,Supermarket Type2,1226.6210854392248
1752,FDD14,20.7,Low Fat,0.170768961,Canned,183.5266,OUT017,2007,Medium,Tier 2,Supermarket Type1,2911.298283954526
1753,FDB10,10.0,Low Fat,0.067208123,Snack Foods,235.559,OUT046,1997,Small,Tier 1,Supermarket Type1,3791.5331486519067
1754,DRN11,7.85,Low Fat,0.162949459,Hard Drinks,145.0444,OUT035,2004,Small,Tier 2,Supermarket Type1,2301.2933069238147
1755,FDP38,10.1,Low Fat,0.032232864,Canned,50.9008,OUT018,2009,Medium,Tier 3,Supermarket Type2,571.772754363109
1756,NCA30,19.0,Low Fat,0.130065297,Household,188.6872,OUT017,2007,Medium,Tier 2,Supermarket Type1,3029.8385340827767
1757,FDT15,12.15,reg,0.042922946,Meat,184.695,OUT017,2007,Medium,Tier 2,Supermarket Type1,3051.266170381356
1758,NCP55,14.65,Low Fat,0.011235608,Others,57.0614,OUT018,2009,Medium,Tier 3,Supermarket Type2,684.0736651534148
1759,FDF12,8.235,Low Fat,0.082412268,Baking Goods,148.5076,OUT035,2004,Small,Tier 2,Supermarket Type1,2417.6720601365205
1760,FDM21,20.2,Low Fat,0.06462627,Snack Foods,256.2646,OUT018,2009,Medium,Tier 3,Supermarket Type2,3820.7788497575034
1761,FDX56,17.1,Regular,0.07404547,Fruits and Vegetables,205.8638,OUT035,2004,Small,Tier 2,Supermarket Type1,3384.506686945901
1762,FDF10,15.5,Regular,0.157816029,Snack Foods,145.4418,OUT017,2007,Medium,Tier 2,Supermarket Type1,2355.310591103096
1763,FDT32,19.0,Regular,0.065767041,Fruits and Vegetables,189.6214,OUT045,2002,Medium,Tier 2,Supermarket Type1,3094.1001602301717
1764,FDM51,11.8,Regular,0.026031835,Meat,101.2674,OUT018,2009,Medium,Tier 3,Supermarket Type2,1392.9338604605127
1765,NCR50,20.2,Low Fat,0.011868237,Household,154.434,OUT018,2009,Medium,Tier 3,Supermarket Type2,2249.0812505445792
1766,FDI19,15.1,Low Fat,0.052420442,Meat,242.4512,OUT049,1999,Medium,Tier 1,Supermarket Type1,3850.601475056776
1767,FDX21,7.05,Low Fat,0.085446623,Snack Foods,107.8912,OUT017,2007,Medium,Tier 2,Supermarket Type1,1750.5041591467998
1768,FDR31,6.46,Regular,0.049153588,Fruits and Vegetables,145.3102,OUT035,2004,Small,Tier 2,Supermarket Type1,2424.128874184455
1769,FDY02,8.945,Regular,0.08757299,Dairy,261.191,OUT013,1987,High,Tier 3,Supermarket Type1,4154.835762706105
1770,NCA29,10.5,Low Fat,0.0,Household,170.6106,OUT045,2002,Medium,Tier 2,Supermarket Type1,2784.923706931269
1771,NCX17,21.25,Low Fat,0.113603432,Health and Hygiene,231.73,OUT046,1997,Small,Tier 1,Supermarket Type1,3724.6268132642185
1772,FDM12,16.7,Regular,0.070058787,Baking Goods,190.3214,OUT045,2002,Medium,Tier 2,Supermarket Type1,3082.9733294527646
1773,FDI53,12.695633368756642,Regular,0.136978402,Frozen Foods,160.4236,OUT027,1985,Medium,Tier 3,Supermarket Type3,4013.1449249807024
1774,NCU30,5.11,Low Fat,0.0,Household,164.121,OUT049,1999,Medium,Tier 1,Supermarket Type1,2652.8147316417703
1775,FDC56,12.695633368756642,Low Fat,0.120932251,Fruits and Vegetables,121.044,OUT027,1985,Medium,Tier 3,Supermarket Type3,3381.135808500499
1776,FDK27,11.0,Low Fat,0.00898298,Meat,123.0756,OUT018,2009,Medium,Tier 3,Supermarket Type2,1711.6357016267984
1777,NCK18,9.6,Low Fat,0.00673599,Household,166.4184,OUT017,2007,Medium,Tier 2,Supermarket Type1,2714.6029231466787
1778,FDB52,12.695633368756642,Low Fat,0.053288809,Dairy,257.5672,OUT019,1985,Small,Tier 1,Grocery Store,2177.9198449918676
1779,DRG25,12.695633368756642,Low Fat,0.018957442,Soft Drinks,188.324,OUT027,1985,Medium,Tier 3,Supermarket Type3,4443.777371913102
1780,FDZ13,7.84,reg,0.153733623,Canned,51.935,OUT049,1999,Medium,Tier 1,Supermarket Type1,895.9723382595744
1781,FDB57,12.695633368756642,Regular,0.032925311,Fruits and Vegetables,223.5772,OUT019,1985,Small,Tier 1,Grocery Store,1697.4327994192354
1782,FDR40,9.1,Regular,0.008034387,Frozen Foods,82.5618,OUT046,1997,Small,Tier 1,Supermarket Type1,1429.413971784642
1783,NCO14,12.695633368756642,Low Fat,0.051902594,Household,44.7086,OUT019,1985,Small,Tier 1,Grocery Store,-1144.4847302514443
1784,NCN19,13.1,Low Fat,0.012124086,Others,190.753,OUT045,2002,Medium,Tier 2,Supermarket Type1,3076.181284892836
1785,FDQ28,12.695633368756642,Regular,0.105799985,Frozen Foods,155.0656,OUT019,1985,Small,Tier 1,Grocery Store,580.1575517996798
1786,FDO13,7.865,Low Fat,0.061308404,Breakfast,164.8526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2329.630202665716
1787,FDK48,7.445,Low Fat,0.0,Baking Goods,77.2354,OUT013,1987,High,Tier 3,Supermarket Type1,1267.019090458734
1788,FDU07,11.1,Low Fat,0.060090767,Fruits and Vegetables,152.5366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2175.685413150544
1789,FDW20,20.75,Low Fat,0.0,Fruits and Vegetables,123.373,OUT046,1997,Small,Tier 1,Supermarket Type1,2075.2968411188617
1790,FDV12,16.7,Regular,0.101891731,Baking Goods,98.7384,OUT010,1998,Medium,Tier 3,Grocery Store,-303.6581092155866
1791,FDH24,20.7,Low Fat,0.021413299,Baking Goods,158.2288,OUT013,1987,High,Tier 3,Supermarket Type1,2554.793367926204
1792,FDV59,13.35,Low Fat,0.048101713,Breads,216.0166,OUT049,1999,Medium,Tier 1,Supermarket Type1,3426.8959661889917
1793,FDK57,10.195,Low Fat,0.080455726,Snack Foods,120.144,OUT045,2002,Medium,Tier 2,Supermarket Type1,1950.80682495799
1794,FDL16,12.695633368756642,Low Fat,0.16763712,Frozen Foods,45.506,OUT027,1985,Medium,Tier 3,Supermarket Type3,2164.3767378562497
1795,NCQ17,10.3,Low Fat,0.116932555,Health and Hygiene,155.463,OUT046,1997,Small,Tier 1,Supermarket Type1,2504.9142420146813
1796,FDJ15,11.35,Regular,0.023417483,Dairy,185.1608,OUT018,2009,Medium,Tier 3,Supermarket Type2,2718.5453561952695
1797,FDX24,8.355,Low Fat,0.0,Baking Goods,93.5462,OUT049,1999,Medium,Tier 1,Supermarket Type1,1526.092993840436
1798,FDT47,5.26,Regular,0.0,Breads,96.3068,OUT046,1997,Small,Tier 1,Supermarket Type1,1622.785642221636
1799,FDT10,16.7,Regular,0.062140968,Snack Foods,60.8562,OUT049,1999,Medium,Tier 1,Supermarket Type1,1047.5996467728155
1800,FDZ37,8.1,Regular,0.019849032,Canned,87.7198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1181.8228421592953
1801,FDW43,12.695633368756642,Regular,0.022316641,Fruits and Vegetables,229.5036,OUT027,1985,Medium,Tier 3,Supermarket Type3,5156.840218852136
1802,DRN36,15.2,Low Fat,0.050461669,Soft Drinks,95.5752,OUT017,2007,Medium,Tier 2,Supermarket Type1,1548.3155419056707
1803,FDJ14,10.3,Regular,0.05017202,Canned,80.596,OUT045,2002,Medium,Tier 2,Supermarket Type1,1355.1159191507477
1804,FDA32,14.0,Low Fat,0.030069149,Fruits and Vegetables,217.4192,OUT013,1987,High,Tier 3,Supermarket Type1,3485.6824502831964
1805,FDJ38,12.695633368756642,Regular,0.070394702,Canned,190.053,OUT019,1985,Small,Tier 1,Grocery Store,1138.4947708493619
1806,FDQ57,7.275,Low Fat,0.0,Snack Foods,146.776,OUT017,2007,Medium,Tier 2,Supermarket Type1,2397.821818729824
1807,NCQ41,12.695633368756642,Low Fat,0.0,Health and Hygiene,193.5794,OUT019,1985,Small,Tier 1,Grocery Store,1202.8794781465563
1808,FDG56,13.3,Regular,0.071563651,Fruits and Vegetables,59.9536,OUT049,1999,Medium,Tier 1,Supermarket Type1,1023.0001794860177
1809,DRC13,12.695633368756642,Regular,0.032284472,Soft Drinks,123.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,3456.5481297536267
1810,FDV55,17.75,Low Fat,0.055063016,Fruits and Vegetables,144.5444,OUT035,2004,Small,Tier 2,Supermarket Type1,2400.0870132678256
1811,FDQ49,20.2,Regular,0.0,Breakfast,157.363,OUT045,2002,Medium,Tier 2,Supermarket Type1,2583.43973766165
1812,FDE29,8.905,Low Fat,0.239568811,Frozen Foods,60.4878,OUT010,1998,Medium,Tier 3,Grocery Store,-999.9510173212009
1813,FDR03,15.7,Regular,0.0,Meat,205.798,OUT013,1987,High,Tier 3,Supermarket Type1,3326.206522805885
1814,FDD45,8.615,Low Fat,0.0,Fruits and Vegetables,92.9436,OUT049,1999,Medium,Tier 1,Supermarket Type1,1533.299535599128
1815,FDN38,6.615,Regular,0.153942031,Canned,249.7408,OUT010,1998,Medium,Tier 3,Grocery Store,2029.6758873252288
1816,FDT56,16.0,Regular,0.115592409,Fruits and Vegetables,58.1246,OUT046,1997,Small,Tier 1,Supermarket Type1,1022.6577115966334
1817,FDT48,4.92,low fat,0.046048229,Baking Goods,200.0084,OUT045,2002,Medium,Tier 2,Supermarket Type1,3253.927722629142
1818,FDU03,18.7,Regular,0.091720302,Meat,180.8292,OUT049,1999,Medium,Tier 1,Supermarket Type1,2901.845959456977
1819,FDC56,7.72,LF,0.203400773,Fruits and Vegetables,118.944,OUT010,1998,Medium,Tier 3,Grocery Store,-87.96341790240831
1820,NCO43,12.695633368756642,Low Fat,0.046870135,Others,99.3016,OUT027,1985,Medium,Tier 3,Supermarket Type3,3052.5807854827312
1821,FDQ27,5.19,Regular,0.044502932,Meat,101.699,OUT017,2007,Medium,Tier 2,Supermarket Type1,1674.150442379847
1822,FDR03,15.7,Regular,0.008735936,Meat,205.998,OUT046,1997,Small,Tier 1,Supermarket Type1,3368.7693451323944
1823,DRH23,14.65,Low Fat,0.285077835,Hard Drinks,54.1614,OUT010,1998,Medium,Tier 3,Grocery Store,-1141.9285100769123
1824,FDG22,17.6,Regular,0.041465078,Snack Foods,38.119,OUT045,2002,Medium,Tier 2,Supermarket Type1,720.9538257206013
1825,NCJ42,19.75,Low Fat,0.014289425,Household,103.8332,OUT013,1987,High,Tier 3,Supermarket Type1,1724.4301362185624
1826,FDR24,17.35,Regular,0.062851683,Baking Goods,90.583,OUT046,1997,Small,Tier 1,Supermarket Type1,1541.0883309344626
1827,FDW60,5.44,Regular,0.017058723,Baking Goods,176.037,OUT035,2004,Small,Tier 2,Supermarket Type1,2902.457641547949
1828,FDJ08,11.1,Low Fat,0.110580006,Fruits and Vegetables,190.0846,OUT013,1987,High,Tier 3,Supermarket Type1,3017.173462189319
1829,DRL59,16.75,Low Fat,0.021310584,Hard Drinks,52.2298,OUT018,2009,Medium,Tier 3,Supermarket Type2,581.7331133182556
1830,FDG60,20.35,Low Fat,0.101598896,Baking Goods,232.7616,OUT010,1998,Medium,Tier 3,Grocery Store,1779.7049276583361
1831,FDW27,5.86,Regular,0.0,Meat,155.9314,OUT017,2007,Medium,Tier 2,Supermarket Type1,2546.352433787524
1832,FDX14,13.1,Low Fat,0.075245304,Dairy,77.1354,OUT018,2009,Medium,Tier 3,Supermarket Type2,972.3799520872644
1833,FDC20,10.65,Low Fat,0.023951515,Fruits and Vegetables,56.0272,OUT013,1987,High,Tier 3,Supermarket Type1,945.6182638899672
1834,NCS29,9.0,Low Fat,0.069828759,Health and Hygiene,263.6884,OUT018,2009,Medium,Tier 3,Supermarket Type2,3907.74710377176
1835,FDJ56,8.985,Low Fat,0.183403018,Fruits and Vegetables,100.47,OUT046,1997,Small,Tier 1,Supermarket Type1,1617.499254404764
1836,FDB20,12.695633368756642,Low Fat,0.091011438,Fruits and Vegetables,77.0986,OUT019,1985,Small,Tier 1,Grocery Store,-658.8616675667836
1837,FDL28,12.695633368756642,Regular,0.062868628,Frozen Foods,228.6668,OUT027,1985,Medium,Tier 3,Supermarket Type3,5116.745657116146
1838,FDW01,14.5,Low Fat,0.064321473,Canned,151.7682,OUT018,2009,Medium,Tier 3,Supermarket Type2,2151.5763171997583
1839,FDL03,19.25,Regular,0.027080602,Meat,197.611,OUT046,1997,Small,Tier 1,Supermarket Type1,3235.63379416821
1840,FDX22,6.785,Regular,0.023010532,Snack Foods,209.1928,OUT049,1999,Medium,Tier 1,Supermarket Type1,3377.637184034306
1841,FDJ21,16.7,Regular,0.038520943,Snack Foods,144.6102,OUT035,2004,Small,Tier 2,Supermarket Type1,2436.302021916284
1842,FDR31,6.46,Regular,0.049262588,Fruits and Vegetables,147.6102,OUT045,2002,Medium,Tier 2,Supermarket Type1,2418.2417838208885
1843,FDG21,17.35,Regular,0.146272238,Seafood,151.505,OUT035,2004,Small,Tier 2,Supermarket Type1,2464.6328125668815
1844,FDS22,12.695633368756642,Regular,0.023042273,Snack Foods,42.6428,OUT027,1985,Medium,Tier 3,Supermarket Type3,2219.9960148505197
1845,FDK08,9.195,Regular,0.122281599,Fruits and Vegetables,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,1676.8756374809204
1846,FDE17,20.1,Regular,0.054677324,Frozen Foods,151.7366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2201.291790597209
1847,NCN30,16.35,Low Fat,0.017089325,Household,95.841,OUT017,2007,Medium,Tier 2,Supermarket Type1,1613.089439373587
1848,FDT50,6.75,Regular,0.108238986,Dairy,97.2752,OUT046,1997,Small,Tier 1,Supermarket Type1,1609.041196490537
1849,NCX42,6.36,Low Fat,0.005987891,Household,163.6526,OUT049,1999,Medium,Tier 1,Supermarket Type1,2645.1868019314775
1850,FDJ12,8.895,Regular,0.039033732,Baking Goods,207.8296,OUT035,2004,Small,Tier 2,Supermarket Type1,3399.1413844221884
1851,NCA18,12.695633368756642,Low Fat,0.055806016,Household,117.4492,OUT027,1985,Medium,Tier 3,Supermarket Type3,3358.978497642471
1852,FDP23,12.695633368756642,Low Fat,0.062307997,Breads,217.4166,OUT019,1985,Small,Tier 1,Grocery Store,1529.4332134880115
1853,FDX12,18.2,reg,0.0,Baking Goods,241.4196,OUT013,1987,High,Tier 3,Supermarket Type1,3956.0820448799755
1854,FDN40,5.88,Low Fat,0.086808977,Frozen Foods,152.7998,OUT018,2009,Medium,Tier 3,Supermarket Type2,2149.315661128483
1855,FDV48,9.195,Regular,0.051607098,Baking Goods,77.8644,OUT035,2004,Small,Tier 2,Supermarket Type1,1351.7352439218116
1856,NCY54,8.43,Low Fat,0.177546973,Household,171.9422,OUT013,1987,High,Tier 3,Supermarket Type1,2706.309038528843
1857,FDL16,12.85,Low Fat,0.281955554,Frozen Foods,46.006,OUT010,1998,Medium,Tier 3,Grocery Store,-1238.2324500102343
1858,FDR45,10.8,Low Fat,0.029061192,Snack Foods,240.0222,OUT018,2009,Medium,Tier 3,Supermarket Type2,3563.5348240455846
1859,FDJ52,7.145,Low Fat,0.017786864,Frozen Foods,161.0578,OUT046,1997,Small,Tier 1,Supermarket Type1,2625.8014052619487
1860,DRG01,14.8,Low Fat,0.04513213,Soft Drinks,77.167,OUT017,2007,Medium,Tier 2,Supermarket Type1,1260.504674507843
1861,FDP52,18.7,Regular,0.070632902,Frozen Foods,231.201,OUT013,1987,High,Tier 3,Supermarket Type1,3713.528712314052
1862,FDU58,6.61,Regular,0.029175827,Snack Foods,186.5898,OUT017,2007,Medium,Tier 2,Supermarket Type1,3039.9423718579096
1863,FDL02,20.0,Regular,0.10429446,Canned,105.5622,OUT045,2002,Medium,Tier 2,Supermarket Type1,1742.2451204721751
1864,FDG28,9.285,Regular,0.049239282,Frozen Foods,244.1144,OUT013,1987,High,Tier 3,Supermarket Type1,3908.5735514998455
1865,FDA19,7.52,Low Fat,0.055117075,Fruits and Vegetables,128.7994,OUT035,2004,Small,Tier 2,Supermarket Type1,2134.268183147325
1866,FDW46,12.695633368756642,Regular,0.069961219,Snack Foods,66.4484,OUT027,1985,Medium,Tier 3,Supermarket Type3,2574.5182090488934
1867,NCD43,8.85,Low Fat,0.016044864,Household,103.1964,OUT049,1999,Medium,Tier 1,Supermarket Type1,1695.2408166149244
1868,DRG39,14.15,Low Fat,0.042145893,Dairy,51.7982,OUT013,1987,High,Tier 3,Supermarket Type1,848.5037823345474
1869,NCF55,6.675,Low Fat,0.021700021,Household,35.5874,OUT049,1999,Medium,Tier 1,Supermarket Type1,626.3566553942755
1870,FDJ07,7.26,LF,0.014423523,Meat,118.015,OUT046,1997,Small,Tier 1,Supermarket Type1,1908.9015107076766
1871,FDE08,18.2,LF,0.049319685,Fruits and Vegetables,150.0734,OUT046,1997,Small,Tier 1,Supermarket Type1,2439.981635437735
1872,FDP56,12.695633368756642,Low Fat,0.081387725,Fruits and Vegetables,49.6692,OUT019,1985,Small,Tier 1,Grocery Store,-1085.9463968764376
1873,FDT45,15.85,Low Fat,0.057429676,Snack Foods,53.2956,OUT045,2002,Medium,Tier 2,Supermarket Type1,919.9086964077151
1874,FDF17,5.19,Low Fat,0.042794507,Frozen Foods,195.011,OUT018,2009,Medium,Tier 3,Supermarket Type2,2829.9374836474894
1875,FDX44,9.3,Low Fat,0.042966544,Fruits and Vegetables,87.7172,OUT046,1997,Small,Tier 1,Supermarket Type1,1476.393730384104
1876,FDM28,12.695633368756642,Low Fat,0.044984953,Frozen Foods,179.866,OUT027,1985,Medium,Tier 3,Supermarket Type3,4327.458214807371
1877,FDI36,12.5,Regular,0.062440359,Baking Goods,197.9426,OUT049,1999,Medium,Tier 1,Supermarket Type1,3177.966112858951
1878,FDS07,12.35,Low Fat,0.099960144,Fruits and Vegetables,115.2518,OUT045,2002,Medium,Tier 2,Supermarket Type1,1869.236617250343
1879,FDD36,13.3,Low Fat,0.021316704,Baking Goods,117.7124,OUT045,2002,Medium,Tier 2,Supermarket Type1,1926.3100687862257
1880,FDW11,12.6,Low Fat,0.048782082,Breads,60.5194,OUT046,1997,Small,Tier 1,Supermarket Type1,1023.2859919253588
1881,FDN40,5.88,Low Fat,0.086591206,Frozen Foods,154.4998,OUT049,1999,Medium,Tier 1,Supermarket Type1,2449.678672954076
1882,NCQ18,15.75,Low Fat,0.135282803,Household,97.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,1573.9912986137915
1883,NCQ54,17.7,Low Fat,0.01261332,Household,166.5474,OUT017,2007,Medium,Tier 2,Supermarket Type1,2728.6842545272225
1884,NCS42,8.6,Low Fat,0.069557245,Household,91.5146,OUT045,2002,Medium,Tier 2,Supermarket Type1,1509.2486455628
1885,DRH39,20.7,Low Fat,0.1551444,Dairy,75.867,OUT010,1998,Medium,Tier 3,Grocery Store,-721.1026507128975
1886,FDC09,12.695633368756642,Regular,0.026174636,Fruits and Vegetables,103.7332,OUT027,1985,Medium,Tier 3,Supermarket Type3,3178.4739130220364
1887,FDT08,13.65,Low Fat,0.082381676,Fruits and Vegetables,150.805,OUT010,1998,Medium,Tier 3,Grocery Store,503.8297507431546
1888,FDC08,19.0,Regular,0.0,Fruits and Vegetables,225.272,OUT035,2004,Small,Tier 2,Supermarket Type1,3723.937982314927
1889,FDT20,10.5,Low Fat,0.041629595,Fruits and Vegetables,37.3164,OUT017,2007,Medium,Tier 2,Supermarket Type1,665.4089892844163
1890,FDS35,9.3,Low Fat,0.111199491,Breads,64.0826,OUT035,2004,Small,Tier 2,Supermarket Type1,1067.7104130339126
1891,FDX58,13.15,Low Fat,0.043941955,Snack Foods,182.295,OUT018,2009,Medium,Tier 3,Supermarket Type2,2654.2115005823775
1892,FDW58,20.75,Low Fat,0.0,Snack Foods,105.9622,OUT046,1997,Small,Tier 1,Supermarket Type1,1802.0268559127499
1893,DRD27,18.75,Low Fat,0.0,Dairy,99.3042,OUT046,1997,Small,Tier 1,Supermarket Type1,1664.116317556014
1894,FDH32,12.695633368756642,Low Fat,0.133171307,Fruits and Vegetables,97.641,OUT019,1985,Small,Tier 1,Grocery Store,-353.63616199815806
1895,FDS26,20.35,Low Fat,0.089452302,Dairy,262.7594,OUT035,2004,Small,Tier 2,Supermarket Type1,4232.901832986483
1896,FDQ31,5.785,Regular,0.053847216,Fruits and Vegetables,86.8856,OUT046,1997,Small,Tier 1,Supermarket Type1,1482.2339085027666
1897,FDP11,15.85,Low Fat,0.069382034,Breads,219.6166,OUT018,2009,Medium,Tier 3,Supermarket Type2,3205.499306220156
1898,FDD58,7.76,Low Fat,0.059687962,Snack Foods,99.47,OUT017,2007,Medium,Tier 2,Supermarket Type1,1630.198161390993
1899,FDM33,15.6,Low Fat,0.08789759,Snack Foods,218.3798,OUT045,2002,Medium,Tier 2,Supermarket Type1,3501.3636568937377
1900,FDZ16,16.85,Regular,0.160104378,Frozen Foods,195.7478,OUT049,1999,Medium,Tier 1,Supermarket Type1,3116.6342996672415
1901,NCS29,9.0,LF,0.116404843,Health and Hygiene,264.6884,OUT010,1998,Medium,Tier 3,Grocery Store,2234.3311396417726
1902,NCM18,12.695633368756642,Low Fat,0.145045421,Household,60.0194,OUT019,1985,Small,Tier 1,Grocery Store,-942.8196182419568
1903,FDP11,15.85,Low Fat,0.069207981,Breads,219.5166,OUT049,1999,Medium,Tier 1,Supermarket Type1,3477.5531589189873
1904,NCC42,15.0,Low Fat,0.045162424,Health and Hygiene,141.3838,OUT017,2007,Medium,Tier 2,Supermarket Type1,2300.54639588612
1905,DRM23,16.6,Low Fat,0.135733218,Hard Drinks,172.7422,OUT046,1997,Small,Tier 1,Supermarket Type1,2743.2372786976334
1906,NCN55,12.695633368756642,Low Fat,0.059202419,Others,239.3538,OUT027,1985,Medium,Tier 3,Supermarket Type3,5248.641182161475
1907,FDK46,9.6,Low Fat,0.051424565,Snack Foods,258.162,OUT013,1987,High,Tier 3,Supermarket Type1,4109.60090643677
1908,FDR01,5.405,Regular,0.053621283,Canned,198.7742,OUT046,1997,Small,Tier 1,Supermarket Type1,3223.8635322470222
1909,NCA05,20.75,Low Fat,0.025181597,Health and Hygiene,150.2734,OUT045,2002,Medium,Tier 2,Supermarket Type1,2458.929449681389
1910,NCP43,17.75,Low Fat,0.03067961,Others,178.066,OUT017,2007,Medium,Tier 2,Supermarket Type1,2877.3447034939213
1911,FDR12,12.6,Regular,0.052782711,Baking Goods,170.3764,OUT010,1998,Medium,Tier 3,Grocery Store,835.4910359513783
1912,FDQ01,19.7,Regular,0.16056791,Canned,256.4014,OUT013,1987,High,Tier 3,Supermarket Type1,4067.3834910657256
